Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	pos_1-octl_1	pos_1-octl_2	pos_1-octlW_1	pos_1-octlW_2	pos_butac_1	pos_butac_2	pos_butacW_1	pos_butacW_2	pos_chlor_1	pos_chlor_2	pos_chlorW_1	pos_chlorW_2	pos_chx_1	pos_chx_2	pos_chxW_1	pos_chxW_2	pos_dcm_1	pos_dcm_2	pos_dcmW_1	pos_dcmW_2	pos_DIWB_1	pos_DIWB_2	pos_glyctriol_1	pos_glyctriol_2	pos_glyctriolW_1	pos_glyctriolW_2	pos_hx_1	pos_hx_2	pos_hxW_1	pos_hxW_2	pos_no injection_1	pos_no injection_2	pos_no injection_3	pos_no injection_4	pos_octn_1	pos_octn_2	pos_octnW_1	pos_octnW_2	pos_olalc_1	pos_olalc_2	pos_olalcW_1	pos_olalcW_2	pos_test injection	pos_tol_1	pos_tol_2	pos_tolW_1	pos_tolW_2	pos_undec_1	pos_undec_2	pos_undecW_1	pos_undecW_2	Average	Stdev
890	8.133	177.08838	Unknown	[M+H]+	ion correlated with 3593; ion correlated with 4096; similar chromatogram in higher mz_4096; similar chromatogram in higher mz_1276; similar chromatogram in higher mz_1632; similar chromatogram in higher mz_3593; similar chromatogram in higher mz_3892; similar chromatogram in higher mz_4204	0.078	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	25.73	pos_hx_2	177.08838:10176 178.09173:967 179.09509:788		9832	8850	8762	7878	1284	1147	216	2043	1111	903	824	1760	346	1083	1068	1027	809	645	1812	355	1133	402	734	849	632	1134	52571	53135	46806	45772	1534	508	705	793	833	984	778	928	588	1923	1739	1173	590	462	1892	2217	796	2224	2141	1931	1391	5510.81435409247	13193.4767786536
891	7.639	177.08859	Unknown	[M+H]+	ion correlated with 3594; ion correlated with 2590; ion correlated with 3907; similar chromatogram in higher mz_3907; similar chromatogram in higher mz_3594; similar chromatogram in higher mz_1307; similar chromatogram in higher mz_1888; similar chromatogram in higher mz_2548; similar chromatogram in higher mz_2590; similar chromatogram in higher mz_3082; similar chromatogram in higher mz_4042; similar chromatogram in higher mz_4249	0.157	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	113.78	pos_hx_2	177.08859:76481 178.09194:6687 179.0953:1088		50732	51724	46801	46295	614	964	2670	510	1887	1291	6639	4571	3982	2412	1647	2786	755	530	1463	1051	1204	1893	1019	1896	763	2619	381787	376708	337043	324519	732	1017	658	1051	1095	3884	2623	3948	900	1749	1378	1693	2353	1001	614	385	1846	10864	8266	8198	6470	33715.6907432407	95778.7235015505
892	6.933	177.10196	w/o MS2:NCGC00384935-01!2,2-dimethyl-1,3-dihydroquinazolin-4-one	[M+H]+	ion correlated with 2321; ion correlated with 1979; ion correlated with 1644; ion correlated with 2239; ion correlated with 3517; similar chromatogram in higher mz_4048; similar chromatogram in higher mz_2754; similar chromatogram in higher mz_2363; similar chromatogram in higher mz_1918; similar chromatogram in higher mz_4179	0.039	False	null	177.10201	C10H12N2O	Quinazolines	BXJMRXBQNLKDCI-UHFFFAOYSA-N	OC1=NC(NC=2C=CC=CC12)(C)C	530	True	True	False		False	False	null	null	100	null	null	null	null	11.09	pos_olalc_2	177.10196:4114 178.10531:751 179.10867:754		1912	1205	4885	1292	1381	2302	924	1962	1620	783	1509	871	2587	3864	765	1531	1871	1341	1888	1951	2091	1149	1127	655	1817	522	1529	1765	1282	580	4447	1866	1992	1579	1425	2667	1057	2517	22127	19747	5320	7367	1620	333	1991	2136	527	1809	896	1741	2008	2630.03660134708	3956.7716693657
893	3.929	177.10236	w/o MS2:Serotonin; CE0; QZAYGJVTTNCVMB-UHFFFAOYSA-N	[M+H]+	ion correlated with 1668; ion correlated with 1062; ion correlated with 1839	0.039	False	7.732	177.10225	C10H12N2O	Serotonins	QZAYGJVTTNCVMB-UHFFFAOYSA-N	c1cc2c(cc1O)c(CCN)c[nH]2	530	True	True	False		False	False	null	null	100	99.9	null	null	null	18.41	pos_olalc_2	177.10236:7277 178.10571:3755 179.10907:2226		5017	2560	4662	3315	4122	5510	5397	6343	2001	2462	4785	6741	2896	2254	8412	2377	3695	3032	8146	3349	7050	5368	8529	3645	4242	2792	3010	5118	4529	4701	3104	3471	2363	1645	5605	3723	1948	7134	37615	37513	14768	16243	3601	2791	4537	3246	5812	4352	2255	4651	2189	5973.01549335555	7026.46561325365
894	4.252	177.10297	w/o MS2:Serotonin; CE0; QZAYGJVTTNCVMB-UHFFFAOYSA-N	[M+H]+	ion correlated with 3188; ion correlated with 2440; ion correlated with 2578; ion correlated with 3170; ion correlated with 2275; similar chromatogram in higher mz_3170; similar chromatogram in higher mz_2578; similar chromatogram in higher mz_1420; similar chromatogram in higher mz_2275	0.039	False	7.732	177.10225	C10H12N2O	Serotonins	QZAYGJVTTNCVMB-UHFFFAOYSA-N	c1cc2c(cc1O)c(CCN)c[nH]2	530	True	True	False		False	False	null	null	99.7	99.9	null	null	null	11.8	pos_olalc_2	177.10297:4991 178.10632:1392 179.10968:1620		3871	833	2884	1766	1979	2522	1878	3012	1987	1251	2008	2408	1560	1482	1270	2057	4593	751	2131	1688	2526	665	2002	2721	2706	2936	2908	4200	934	1953	1110	1665	1381	914	1246	1902	1244	801	25341	31119	8170	10428	1972	730	1550	1374	1963	1227	966	1907	3724	3259.20364918428	5405.18785466662
895	3.273	177.10677	w/o MS2:Unknown (carbon number 10); PlaSMA ID-447	[M+H]+		0.039	False	2.05	177.104	C10H12N2O	Unknown			530	True	True	False		False	False	null	null	96.3	100	null	null	null	12.37	pos_butac_2	177.10677:4760 178.11012:961 179.11348:594		30144	27515	8741	8417	46215	42321	5092	2666	9067	7560	10173	6520	7911	6028	2391	3268	7929	14418	6100	2849	1794	2641	9926	6459	3558	4230	20280	17537	2626	3421	2552	1986	2316	2184	3397	2700	1962	2854	3342	12476	2367	2327	2909	17584	12311	3137	1958	3791	5741	5848	3130	8326.85766362209	9669.91454803552
896	2.645	177.11223	Unknown	[M+H]+	ion correlated with 1408; ion correlated with 305	0.353	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	37.2	pos_dcm_2	177.11223:24651 178.11558:2587 179.11894:1003		25861	24543	10581	8983	63221	63273	16669	16501	81770	84902	51646	51158	12505	13783	7140	9001	97498	102259	14957	16362	2350	5144	15715	17351	9514	7967	41751	45307	8416	10319	1666	2402	1637	1219	8869	10030	8697	7505	26939	27052	10669	11072	2211	55493	55977	8841	8431	9369	9406	10969	8505	23988.3678193934	26168.4877009841
897	1.02	177.12387	w/o MS2:NEROL	[M+H]+	ion correlated with 463; ion correlated with 455; ion correlated with 1318; ion correlated with 23; ion correlated with 2852; ion correlated with 925	0.039	False	null	177.12497	C10H18O	Acyclic monoterpenoids	GLZPCOQZEFWAFX-YFHOEESVSA-N	OCC=C(C)CCC=C(C)C	530	True	True	False		False	False	null	null	99.4	null	null	null	null	13.14	pos_olalc_1	177.12387:5080 178.12722:648 179.13058:265		161	137	187	193	220	121	137	158	141	104	130	572	295	244	120	246	116	0	109	319	548	135	118	504	259	106	0	277	167	126	156	319	107	217	143	359	0	172	22394	21377	10133	8033	129	261	372	192	284	139	101	119	120	1393.68092256434	4536.75643722618
898	8.547	177.12709	w/o MS2:NEROL	[M+H]+		0.078	False	null	177.12497	C10H18O	Acyclic monoterpenoids	GLZPCOQZEFWAFX-YFHOEESVSA-N	OCC=C(C)CCC=C(C)C	530	True	True	False		False	False	null	null	97.8	null	null	null	null	20.97	pos_hx_2	177.12709:6421 178.13044:960 179.1338:1129		917	3581	3402	849	3986	1262	1187	1151	2066	1518	1198	939	2605	1204	2553	1683	2337	632	1145	1419	1151	1377	1209	4338	1010	1375	36717	37937	34824	31983	2366	2847	2225	1725	1683	700	1455	1986	2010	2048	813	2339	1900	1799	1463	1511	1636	3826	1767	2881	2339	4487.74170759612	9159.60361246676
899	6.524	177.12749	w/o MS2:NEROL	[M+H]+	similar chromatogram in higher mz_4478	1	False	null	177.12497	C10H18O	Acyclic monoterpenoids	GLZPCOQZEFWAFX-YFHOEESVSA-N	OCC=C(C)CCC=C(C)C	530	True	True	False		False	False	null	null	96.9	null	null	null	null	95.03	pos_hx_1	177.12749:58635 178.13084:8603 179.1342:856		110144	100660	163472	162407	86831	81100	173074	178463	66119	64810	69722	71751	205918	206056	218433	217003	65693	64965	74683	76189	275015	282805	189048	206200	224628	225522	288519	275600	292434	284216	52968	55329	59821	53032	159380	165371	166853	158656	111860	109363	207693	213645	171772	158286	159193	170744	162972	249810	253126	238608	239941	163135.324601716	74930.843864818
900	6.979	177.12776	w/o MS2:geraniol	[M+H]+	ion correlated with 1178; ion correlated with 2363; ion correlated with 3517; ion correlated with 4048; ion correlated with 1918; ion correlated with 1438; ion correlated with 485; ion correlated with 1793; ion correlated with 2397; ion correlated with 2211; similar chromatogram in higher mz_2397; similar chromatogram in higher mz_2490	0.078	False	5.85	177.13	C10H18O	Acyclic monoterpenoids	GLZPCOQZEFWAFX-JXMROGBWSA-N	OCC=C(C)CCC=C(C)C	530	True	True	False		False	False	null	null	97.5	100	null	null	null	33.89	pos_olalc_2	177.12776:18412 178.13111:2169 179.13447:4214		1543	2086	4967	2234	3038	2641	6183	4102	2938	3566	2608	8810	2532	6716	3616	4408	2566	2163	1207	2808	2284	3981	4020	5862	5355	1777	4299	5202	4255	6489	2200	3781	3699	3448	3808	3018	5042	2900	93383	92895	46684	54622	2590	4572	3121	4446	2992	4489	5173	3363	5592	9138.67452943091	19513.2890982353
901	5.356	177.12785	w/o MS2:geraniol	[M+H]+	ion correlated with 1143; ion correlated with 2047; ion correlated with 2456; ion correlated with 2115; ion correlated with 342; ion correlated with 2231; ion correlated with 3255; ion correlated with 1667; ion correlated with 2992; ion correlated with 3683; ion correlated with 1439	0.039	False	5.85	177.13	C10H18O	Acyclic monoterpenoids	GLZPCOQZEFWAFX-JXMROGBWSA-N	OCC=C(C)CCC=C(C)C	530	True	True	False		False	False	null	null	97.7	100	null	null	null	13.97	pos_olalc_2	177.12785:7372 178.1312:1000 179.13456:3862		2577	1897	2042	4650	4744	4693	1555	2735	4960	4130	1497	1556	2089	1338	2391	2486	5018	2630	1840	1235	1884	1189	1413	1708	2331	4337	2109	4719	1140	1475	3565	1577	1768	2322	2456	6244	1140	2572	40862	45548	12235	14602	1514	1209	2974	4966	1956	1799	1184	5872	739	4617.09013456457	8286.85341414037
902	6.3	177.1282	w/o MS2:geraniol	[M+H]+	ion correlated with 2062; ion correlated with 1176; ion correlated with 338; ion correlated with 1736; ion correlated with 2114; ion correlated with 2682; ion correlated with 1661; ion correlated with 2797	0.039	False	5.85	177.13	C10H18O	Acyclic monoterpenoids	GLZPCOQZEFWAFX-JXMROGBWSA-N	OCC=C(C)CCC=C(C)C	530	True	True	False		False	False	null	null	98.4	100	null	null	null	12.66	pos_olalc_1	177.1282:6621 178.13155:1080 179.13491:2681		5533	3326	2979	4028	2952	1880	4375	6089	1164	1477	5680	2410	3620	2724	4933	5212	4022	2554	6434	2382	3493	2171	4144	3437	5793	4091	5953	5236	4134	2583	1525	1664	2137	1984	2534	5011	3121	3084	38021	40013	21244	25461	2844	2647	4064	5926	4699	5458	6730	4675	3726	5909.32903693704	7912.98251576788
903	10.061	177.16411	Unknown	[M+H]+	ion correlated with 4893	0.039	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.99	pos_olalc_2	177.16411:4459 178.16746:725 179.17082:863		1985	858	1464	1112	1110	1000	656	1080	1035	400	678	1023	1194	930	411	1729	512	591	527	2529	907	568	3656	1272	714	1245	1320	2724	850	1424	971	935	1280	734	1078	884	648	2139	26649	28937	17144	17878	2347	1508	709	909	660	935	1433	1075	1288	2855.77196248372	6047.89303548477
904	4.998	178.10759	Unknown	[M+H]+	ion correlated with 3511	0.02	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	33.54	pos_butac_2	178.10759:8761 179.11094:1522 180.1143:482		8020	9072	1454	3653	34841	38127	2683	2371	7775	6739	4025	3567	3099	2498	373	891	17675	17609	2841	3158	593	807	8040	6995	1081	673	12413	11786	562	1563	745	669	966	1456	998	1147	175	552	10520	10164	1283	1193	235	13986	11227	735	645	3430	1427	977	532	5451.89695320877	7863.84965455439
905	3.647	178.10838	Unknown	[M+H]+	ion correlated with 1217; similar chromatogram in higher mz_1217; similar chromatogram in higher mz_1483; similar chromatogram in higher mz_1559; similar chromatogram in higher mz_2164; similar chromatogram in higher mz_2467; similar chromatogram in higher mz_2502; similar chromatogram in higher mz_2820; similar chromatogram in higher mz_3585; similar chromatogram in higher mz_3792; similar chromatogram in higher mz_3915; similar chromatogram in higher mz_4266; similar chromatogram in higher mz_4298; similar chromatogram in higher mz_4056	0.863	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6047.6	pos_butac_1	178.10838:4676102 179.11173:424355 180.11509:51518		4780758	4683164	954369	979615	23148474	22849298	1957913	1998501	13190851	13176813	5573734	5489796	2732248	2734492	241612	236851	18267582	18290802	2317456	2313107	2260	3657	8838553	9036411	214034	214300	16948882	17076610	230934	228741	1732	728	943	1677	1991653	2040564	317560	302911	9814941	9836978	397654	401675	4849	16715570	16641386	593171	602674	2873167	2900050	165491	167999	5185984.15073769	6867390.49322198
906	4.322	178.12242	w/o MS2:Phenmetrazine	[M+H]+		0.235	False	null	178.12263	C11H15NO	Phenylmorpholines	OOBHFESNSZDWIU-UHFFFAOYNA-N	O1CCNC(C)C1C=2C=CC=CC2	530	True	True	False		False	False	null	null	100	null	null	null	null	37.78	pos_butac_1	178.12242:16924 179.12577:2528 180.12913:0		84634	90270	8886	12505	200662	204462	3182	2129	76255	92789	8573	14764	4487	3775	668	751	102853	103119	1456	1660	257	272	6713	12344	294	773	80593	72218	259	529	406	336	136	196	2022	2233	1053	338	72728	38809	2201	1402	932	61234	70386	834	521	997	3032	900	1096	28508.2967316871	48906.310626381
907	0.937	178.13113	w/o MS2:7-methanesulfinylheptan-1-amine; PlaSMA ID-460	[M+H]+	ion correlated with 689; ion correlated with 1472; ion correlated with 1105; ion correlated with 455; ion correlated with 1318; ion correlated with 23	0.02	False	2.08	178.1263	C8H19NOS	Glucosinolate breakdown metabolites	NEMIGFQIONIZCH-UHFFFAOYNA-N	CS(=O)CCCCCCCN	530	True	True	False		False	False	null	null	89	100	null	null	null	13.45	pos_olalc_2	178.13113:3519 179.13448:499 180.13784:1463		0	0	0	121	142	0	112	130	237	99	242	247	102	156	0	123	238	0	109	0	0	0	0	103	0	110	0	0	101	0	0	0	0	0	0	297	127	0	14018	15320	9828	9806	0	0	138	0	0	127	118	0	272	1027.91049897437	3378.43928318306
908	3.064	178.14395	Unknown	[M+H]+	ion correlated with 1669; ion correlated with 4014; ion correlated with 4407; ion correlated with 653; ion correlated with 4408; ion correlated with 3591; ion correlated with 3819; ion correlated with 3986; ion correlated with 4318; ion correlated with 4690; ion correlated with 1283; ion correlated with 4423; ion correlated with 3874; ion correlated with 1193; ion correlated with 2200; ion correlated with 1267; ion correlated with 438	0.039	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	14.16	pos_olalc_1	178.14395:3965 179.1473:486 180.15066:326		141	132	91	105	0	92	0	156	167	103	119	136	179	122	113	0	148	0	128	121	0	178	450	768	100	134	0	156	107	0	0	107	118	110	220	134	0	219	17865	16817	5064	4988	233	217	101	99	0	108	238	143	453	1003.52736678778	3472.38436071048
909	2.028	178.14418	Unknown	[M+H]+		0.078	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	480	pos_olalc_2	178.14418:187834 179.14753:21544 180.15089:1950		239	103	417	386	139	106	0	0	0	106	123	306	271	0	104	224	0	0	130	119	0	0	119	0	0	106	107	105	0	0	116	118	122	137	131	0	0	113	743812	744377	240007	241838	0	0	0	0	0	0	0	228	225	38714.3874785479	151459.84844828
910	17.273	179.0352	w/o MS2:Unknown (carbon number 9); PlaSMA ID-470	[M+H]+		0.02	False	3.13	179.0351	C9H6O4	Unknown			530	True	True	False		False	False	null	null	100	99	null	null	null	6.68	pos_test injection	179.0352:19731 180.03855:1591 181.04191:9094		52937	39302	60176	27122	59516	33125	45303	95402	46006	152885	90020	165588	61814	82703	81743	148819	26716	176045	66353	104041	60010	55971	93085	79365	139204	56036	97621	24237	65831	97655	131449	145077	62933	121636	95585	77927	17626	86056	43673	81530	82019	22734	136605	124020	85797	30213	44321	29037	15701	24179	83465	76984.540613511	41618.4733679094
911	15.911	179.03525	w/o MS2:Unknown (carbon number 9); PlaSMA ID-470	[M+H]+		0.137	False	3.13	179.0351	C9H6O4	Unknown			530	True	True	False		False	False	null	null	100	99.2	null	null	null	5.42	pos_chlorW_1	179.03525:13175 180.0386:810 181.04196:6254		91304	66436	111802	115155	139591	89095	136800	63131	158843	149360	153888	98531	135015	119659	79961	135000	144489	45473	91420	134269	118076	118845	150926	115893	52394	109347	142529	84253	125208	66107	110499	35743	99041	118266	164096	91068	139028	143190	53014	124375	111122	95902	166824	152340	93548	51772	38502	68732	92447	61873	106846	107078.994255515	35317.0760259884
912	3.059	179.06779	w/o MS2:4,5-dihydroxy-3-propylcyclopent-2-en-1-one	[M+H]+	ion correlated with 372; ion correlated with 2523; ion correlated with 2772	0.078	False	null	179.06786	C8H12O3	1,2-diols	LFRFNLMDZHTVHB-UHFFFAOYSA-N	O=C1C=C(CCC)C(O)C1O	530	True	True	False		False	False	null	null	100	null	null	null	null	8.83	pos_glyctriol_2	179.06779:7744 180.07114:1068 181.0745:1213		8934	8819	7542	3417	5454	6611	3289	5569	3153	1805	3127	2645	2659	3016	2884	3139	3139	3211	2922	3579	2589	2695	32729	32203	17918	18380	3826	4844	2182	2503	385	723	460	691	3238	3304	4377	2850	9281	5723	6976	5865	781	4060	4017	2529	4652	5116	5207	5385	5142	5598.95369825176	6481.86486450148
913	5.24	179.10619	w/o MS2:MLS001065600-01!	[M+H]+	ion correlated with 1316	0.02	False	null	179.10699	C11H14O2			O(c1ccc(cc1OC)CC=C)C	530	True	True	False		False	False	null	null	99.7	null	null	null	null	10.35	pos_olalc_2	179.10619:4763 180.10954:528 181.1129:3381		5552	2388	5111	3652	3183	4120	2991	1443	2998	4090	3469	1565	3632	2481	2499	2700	2277	5684	3171	3264	2769	2014	9440	10502	8670	6980	4024	3423	3817	4467	4265	3746	4659	5492	4304	2264	3219	3883	35619	38770	22835	19179	3884	2692	2983	4425	2986	3873	4601	3962	4028	5961.67428529029	7419.37642993313
914	7.232	179.1066	w/o MS2:MLS001065600-01!	[M+H]+	ion correlated with 3422; ion correlated with 2911	0.039	False	null	179.10699	C11H14O2			O(c1ccc(cc1OC)CC=C)C	530	True	True	False		False	False	null	null	99.9	null	null	null	null	4.39	pos_glyctriol_2	179.1066:4305 180.10995:743 181.11331:2184		2363	3449	6427	9769	3988	2083	6452	3413	2682	2362	2683	3344	5981	1808	5831	6497	2503	4448	2522	3167	3234	3153	25616	28914	14745	11456	5994	6534	2540	2473	3849	3604	2785	4705	2752	7321	4472	4953	13608	9776	2162	5102	3013	3159	2207	3669	3871	3656	2850	4482	4373	5545.10758463542	5270.26580454703
915	6.114	179.10699	w/o MS2:MLS001065600-01!	[M+H]+		1	False	null	179.10699	C11H14O2			O(c1ccc(cc1OC)CC=C)C	530	True	True	False		False	False	null	null	100	null	null	null	null	152.17	pos_DIWB_2	179.10699:199556 180.11034:26317 181.1137:2589		264043	258758	476724	461071	290550	293467	581508	618443	231040	212169	247619	250973	643220	659560	716477	675780	225167	220063	247676	249553	940869	963219	422005	424284	642496	657044	729609	717569	733268	741780	243722	238127	251513	225113	525907	529043	525475	517295	363100	367367	624787	665771	620553	323085	330882	472454	483369	724281	708116	733729	746161	490506.891544118	210704.460712329
916	3.976	179.12781	w/o MS2:Triglyme	[M+H]+		0.157	False	null	179.12779	C8H18O4	Dialkyl ethers	YFNKIDBQEZZDLK-UHFFFAOYSA-N	COCCOCCOCCOC	530	True	True	False		False	False	null	null	100	null	null	null	null	9.51	pos_butac_2	179.12781:8172 180.13116:697 181.13452:0		17612	20063	8874	9146	32486	35768	9851	9714	13966	14743	11376	12844	9610	9538	11648	5889	24363	23851	9852	10817	1782	2002	14513	14646	9682	9983	25641	27546	10571	9748	2747	2159	2224	1195	8676	5930	11452	10066	13140	11711	9584	9503	2332	17126	19401	8183	7279	12958	13109	12080	8655	12110.4806841682	7504.90180889342
917	6.822	179.14262	w/o MS2:Unknown (carbon number 12); PlaSMA ID-485	[M+H]+		0.02	False	6.47	179.1433	C48H78O18	Unknown			530	True	True	False		False	False	null	null	99.8	100	null	null	null	9.63	pos_olalc_1	179.14262:8941 180.14597:1185 181.14933:0		2916	4816	3101	4010	3236	3479	6862	8144	2099	5010	1894	6076	3691	6321	6134	5113	3120	3036	5324	4835	2378	1854	19190	22646	13278	6932	3824	4798	3602	5317	2285	1246	3874	1576	2559	5148	6156	6607	71167	66460	26042	24240	2843	6448	3452	5412	6219	6821	5728	2059	4140	8500.32097072227	13473.2109072384
918	8.837	179.14296	w/o MS2:Unknown (carbon number 12); PlaSMA ID-485	[M+H]+	ion correlated with 2328; ion correlated with 3893; ion correlated with 1818; ion correlated with 2222; ion correlated with 1175; ion correlated with 655; ion correlated with 1825; similar chromatogram in higher mz_1175	0.039	False	6.47	179.1433	C48H78O18	Unknown			530	True	True	False		False	False	null	null	99.9	100	null	null	null	19.18	pos_glyctriol_1	179.14296:14003 180.14631:2063 181.14967:1012		4285	1911	2968	3461	3677	3329	5536	2697	4145	4835	3638	4529	4359	4147	5921	2328	3940	3387	5342	5559	1016	1136	90411	86408	22071	22000	4630	2749	4105	3631	1950	1434	3187	2548	4099	2346	6197	3506	4608	6863	3204	5000	1564	5474	5820	6148	5337	4309	6387	3020	4036	7944.875943053	16860.063273556
919	7.445	179.14322	w/o MS2:Unknown (carbon number 12); PlaSMA ID-485	[M+H]+	similar chromatogram in higher mz_1177; similar chromatogram in higher mz_1536; similar chromatogram in higher mz_3790; similar chromatogram in higher mz_3929	0.157	False	6.47	179.1433	C48H78O18	Unknown			530	True	True	False		False	False	null	null	100	100	null	null	null	34.39	pos_olalc_2	179.14322:57348 180.14657:7319 181.14993:7337		5332	6364	6238	8920	3442	4459	10116	8088	3854	6652	4445	9011	6600	7365	5083	9617	4863	5732	7516	5447	1652	2650	63627	63925	32034	30198	3589	7335	4491	3718	2952	1423	2552	1575	9959	8946	8141	6068	319243	343046	200019	199547	2034	7209	8924	7778	6921	5701	8909	3440	6046	29466.6034940832	73066.6577047671
920	8.186	179.14337	w/o MS2:Unknown (carbon number 12); PlaSMA ID-485	[M+H]+	ion correlated with 1820	0.059	False	6.47	179.1433	C48H78O18	Unknown			530	True	True	False		False	False	null	null	100	100	null	null	null	7.28	pos_glyctriol_2	179.14337:5778 180.14672:1180 181.15008:427		3844	1085	3395	2626	4238	2243	2126	2948	1577	2152	899	3452	2562	936	5117	4505	1595	2217	3267	3907	3271	2947	38131	44189	26353	25902	1867	1701	3916	1673	1591	1148	897	1339	1692	3901	1555	3371	3128	6650	2342	2917	3290	1437	1364	2608	1736	1476	10905	3538	2118	5169.48920276118	8831.42129274023
921	5.764	179.15404	w/o MS2:6,7-Dihydroxycoumarin;esculetin	[M+H]+		0.157	False	3.37	179.14999	C9H6O4	6,7-dihydroxycoumarins	ILEDWLMCKZNDJK-UHFFFAOYSA-N	O=C1OC=2C=C(O)C(O)=CC2C=C1	530	True	True	False		False	False	null	null	92.1	100	null	null	null	15.63	pos_1-octl_1	179.15404:4532 180.15739:621 181.16075:332		40584	36321	36447	32645	38706	30662	40527	38943	35141	37493	34367	39546	32914	28721	29494	36432	33885	37508	35654	37505	40842	38769	32142	37688	32078	33377	33323	37699	35534	40184	29558	32506	37817	34226	36870	35835	37849	38114	44257	42402	42521	33242	38530	33535	36204	36103	40992	35722	33839	38782	39778	36349.3025428922	3506.83014994898
922	5.306	180.09966	w/o MS2:Unknown (carbon number 10); PlaSMA ID-491	[M+H]+	ion correlated with 614	0.078	False	2.56	180.1019	C10H13NO2	Unknown			530	True	True	False		False	False	null	null	97.5	100	null	null	null	8.55	pos_butac_1	180.09966:4139 181.10301:0 182.10637:443		4707	4518	3020	5317	23698	18607	4169	5247	15070	14668	7586	7169	4063	4794	3088	3123	21530	21582	4164	2259	1010	3366	14242	10086	3182	2670	14566	14104	1665	2129	1882	2275	3947	2338	2118	2680	2883	2671	5677	5454	3671	2729	3637	12873	15898	1242	1643	3675	4139	3630	5137	6580.31716260723	5974.10744739463
923	2.53	180.09987	w/o MS2:Unknown (carbon number 10); PlaSMA ID-491	[M+H]+		0.157	False	2.56	180.1019	C10H13NO2	Unknown			530	True	True	False		False	False	null	null	98	100	null	null	null	11.66	pos_dcm_1	180.09987:5580 181.10322:458 182.10658:0		11847	12498	2112	3987	21819	20565	1121	1370	19112	20300	7964	7656	4871	3528	1765	3051	26723	25822	3022	3881	1655	2127	6624	5829	3130	2414	12135	13348	2885	1415	3185	1475	2553	2025	3151	2963	1540	2292	21772	24399	1444	1467	1755	15280	13655	1248	1867	1641	2956	3176	1642	7177.64528282016	7689.28912156722
924	7.868	180.10199	w/o MS2:Phenacetin	[M+H]+		0.02	False	null	180.10201	C10H13NO2	Acetanilides	CPJSUEIXXCENMM-UHFFFAOYSA-N	O=C(NC1=CC=C(OCC)C=C1)C	530	True	True	False		False	False	null	null	100	null	null	null	null	8.14	pos_1-octl_1	180.10199:3621 181.10534:593 182.1087:0		22547	19292	22122	22388	24353	21305	21725	21439	18045	19728	18817	18197	18226	18858	22456	22359	19266	19031	19795	16094	19018	15952	17773	18569	17450	19087	16172	17550	20988	17913	21639	20399	18874	17901	19264	19353	17245	20313	16970	19334	15038	17381	21232	19192	18307	15284	19387	17786	17873	15206	17935	19067.2471086091	2098.43606542714
925	1.016	180.12321	Unknown	[M+H]+	ion correlated with 173; ion correlated with 463; ion correlated with 455; ion correlated with 2852; ion correlated with 319; ion correlated with 897	0.039	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	13.16	pos_olalc_1	180.12321:4306 181.12656:202 182.12992:732		0	124	0	118	124	119	0	100	453	158	145	0	121	0	108	112	335	147	123	359	0	0	278	0	0	0	0	139	106	103	0	106	113	0	0	111	0	139	32293	31893	6329	6308	0	135	110	0	124	108	0	0	0	1588.96821594238	6343.37935384055
926	6.306	180.13776	w/o MS2:MEX_180.1383_11.9	[M+H]+		0.02	False	null	180.13829	C11H17NO	Phenol ethers	VLPIATFUUWWMKC-UHFFFAOYNA-N	CC=1C=CC=C(C)C1OCC(C)N	530	True	True	False		False	False	null	null	99.9	null	null	null	null	13.19	pos_butac_1	180.13776:3800 181.14111:1025 182.14447:1445		5643	4174	4550	4853	19560	18966	1574	3052	5507	5544	5190	2936	850	2328	1509	565	6089	6792	2754	1074	1544	812	5828	6535	280	1432	7775	6324	1306	417	487	870	949	787	1482	2179	1058	510	3952	3037	1641	1255	147	8134	9434	495	1239	3358	839	1790	926	3535.92881356034	4010.98057038597
